iter	RMSE
0	234.8337495
1	234.1436201
2	233.5149516
3	232.9036562
4	232.2220202
5	231.7277618
6	231.1182663
7	230.5311343
8	229.889768
9	229.4800756
10	228.911659
11	228.3796404
12	227.9129762
13	227.495867
14	227.0542368
15	226.4049735
16	226.0071504
17	225.577064
18	224.9525331
19	224.6220996
20	224.2896016
21	223.7388348
22	223.4022104
23	223.0104421
24	222.5137958
25	222.1527626
26	221.7260894
27	221.40303
28	221.1084087
29	220.8031492
30	220.4951728
31	220.1876282
32	219.851026
33	219.444526
34	219.0073245
35	218.5775783
36	218.2921117
37	217.9525753
38	217.6859706
39	217.3853745
40	217.0699132
41	216.6117504
42	216.4675548
43	216.251985
44	216.0164863
45	215.7864346
46	215.5082331
47	215.2129348
48	214.9792885
49	214.7069875
50	214.5030639
51	214.242707
52	214.0307524
53	213.9225374
54	213.6090222
55	213.4914173
56	213.1944935
57	213.0247407
58	212.6981159
59	212.5316232
60	212.3742147
61	212.2261389
62	212.0035015
63	211.7821187
64	211.5353913
65	211.2852947
66	211.0789615
67	210.7542282
68	210.5232164
69	210.4041729
70	210.2960813
71	210.0258009
72	209.8699657
73	209.6203844
74	209.4130553
75	209.2367465
76	208.9772242
77	208.8388578
78	208.5715731
79	208.4294584
80	208.2575951
81	207.915175
82	207.7409146
83	207.6057122
84	207.3955084
85	207.1217251
86	207.0529819
87	206.9540734
88	206.7928414
89	206.5745194
90	206.304775
91	206.2215021
92	206.0283734
93	205.828401
94	205.6987578
95	205.499533
96	205.2628789
97	205.0414847
98	204.9201492
99	204.7269491
100	204.6424685
101	204.5507632
102	204.4313947
103	204.2773965
104	204.0799115
105	203.9442826
106	203.6315139
107	203.5744789
108	203.4372699
109	203.1683174
110	203.0248177
111	202.9002554
112	202.8344554
113	202.662741
114	202.4565856
115	202.2593165
116	201.9888595
117	201.939862
118	201.7165747
119	201.5655498
120	201.3852485
121	201.2704961
122	201.0785589
123	201.0035229
124	200.8754834
125	200.6967426
126	200.5305396
127	200.4041269
128	200.1545327
129	199.9326866
130	199.6809052
131	199.5265992
132	199.3942716
133	199.2858662
134	199.0872014
135	198.9344042
136	198.8049135
137	198.6390354
138	198.5211676
139	198.4098857
140	198.2781419
141	198.1652745
142	198.1267287
143	197.9919728
144	197.850346
145	197.6961699
146	197.5915305
147	197.453015
148	197.324188
149	197.1842621
150	197.059044
151	196.8328642
152	196.6956527
153	196.5993519
154	196.5689714
155	196.4878836
156	196.308506
157	196.2195738
158	196.1023343
159	196.0185568
160	195.8915296
161	195.754437
162	195.6117387
163	195.5117792
164	195.3089687
165	195.2185088
166	195.0906129
167	194.8783809
168	194.8132261
169	194.7221492
170	194.5561783
171	194.4682988
172	194.3443546
173	194.1463792
174	194.0064375
175	193.8131212
176	193.6863421
177	193.5227309
178	193.3730383
179	193.2027276
180	193.0681054
181	192.9489582
182	192.6995116
183	192.624637
184	192.4630862
185	192.3887377
186	192.3438375
187	192.1834965
188	192.0481685
189	191.8914026
190	191.6607791
191	191.5263964
192	191.4209401
193	191.2834965
194	191.0600439
195	190.8780411
196	190.7715251
197	190.578779
198	190.4790556
199	190.276686
200	190.2078416
201	190.1117296
202	190.0186738
203	189.9420938
204	189.7940728
205	189.6243085
206	189.4191546
207	189.3097202
208	189.1723619
209	189.0361635
210	188.8910897
211	188.746112
212	188.6705139
213	188.5574456
214	188.4464742
215	188.3528691
216	188.2560488
217	188.1521432
218	188.0496622
219	187.9181755
220	187.7791907
221	187.6310155
222	187.4912231
223	187.3992014
224	187.2212828
225	187.1527043
226	186.9885744
227	186.8795094
228	186.795185
229	186.7315253
230	186.6215884
231	186.5053628
232	186.374694
233	186.2081545
234	186.123646
235	186.031231
236	185.8994692
237	185.7972864
238	185.6549445
239	185.4700845
240	185.3732046
241	185.2155955
242	185.1137833
243	185.0389316
244	184.8762877
245	184.7855671
246	184.700997
247	184.6057665
248	184.4950481
249	184.3821213
250	184.3087916
251	184.1531062
252	184.0779564
253	183.9930405
254	183.8267584
255	183.6537802
256	183.4883288
257	183.3831418
258	183.2892465
259	183.1699062
260	183.090387
261	182.9848025
262	182.8477856
263	182.6700078
264	182.5136789
265	182.3934523
266	182.2860004
267	182.1766866
268	182.1034553
269	181.9559471
270	181.8841733
271	181.8017452
272	181.7149442
273	181.6131872
274	181.4538212
275	181.3205078
276	181.2291212
277	181.0821533
278	180.9247874
279	180.8189808
280	180.7669262
281	180.6609012
282	180.5200256
283	180.3922865
284	180.2827669
285	180.1637613
286	180.0570898
287	179.9527547
288	179.7566849
289	179.6128864
290	179.4599396
291	179.3558715
292	179.3042065
293	179.1648114
294	179.027706
295	178.8902205
296	178.8076773
297	178.7461821
298	178.6449178
299	178.5477352
300	178.4034216
301	178.2733027
302	178.1648844
303	178.0749155
304	178.0098903
305	177.8842848
306	177.839231
307	177.6820784
308	177.5880127
309	177.4425475
310	177.3937251
311	177.3039449
312	177.2198575
313	177.1396039
314	177.0241135
315	176.9376274
316	176.8627998
317	176.7475967
318	176.6230428
319	176.5685536
320	176.4247939
321	176.2754583
322	176.1969337
323	176.0974467
324	175.9784184
325	175.8781557
326	175.7510472
327	175.7113279
328	175.6289974
329	175.4976517
330	175.4433888
331	175.3679683
332	175.249058
333	175.1326619
334	174.9528863
335	174.8443345
336	174.7472604
337	174.6981645
338	174.597899
339	174.517049
340	174.4748513
341	174.3572145
342	174.2589375
343	174.1922162
344	174.0701598
345	173.9348215
346	173.8113112
347	173.7653598
348	173.7153174
349	173.6314091
350	173.5117404
351	173.4572708
352	173.3869709
353	173.3136358
354	173.2197993
355	173.139754
356	173.0850006
357	173.0007083
358	172.9031317
359	172.8354786
360	172.7352389
361	172.6410554
362	172.568041
363	172.445234
364	172.3406633
365	172.2180417
366	172.1365895
367	172.0207482
368	171.9161718
369	171.8118747
370	171.7074599
371	171.6286869
372	171.5448187
373	171.5017611
374	171.4300553
375	171.2924402
376	171.2072435
377	171.0585028
378	170.9624063
379	170.8376467
380	170.7729369
381	170.6997826
382	170.6308464
383	170.5373497
384	170.4789491
385	170.355356
386	170.2757508
387	170.2206053
388	170.1212121
389	170.0045624
390	169.9271517
391	169.8601589
392	169.7820208
393	169.658829
394	169.5993239
395	169.4501963
396	169.3910156
397	169.2803399
398	169.1899043
399	169.1013123
400	169.0456722
401	168.9858693
402	168.8848782
403	168.811739
404	168.7283161
405	168.6833502
406	168.5876567
407	168.5219639
408	168.4404198
409	168.3625351
410	168.2997016
411	168.2300013
412	168.119757
413	168.0138514
414	167.9410531
415	167.8706815
416	167.8232691
417	167.7505332
418	167.6307513
419	167.538573
420	167.472797
421	167.3534595
422	167.3094012
423	167.2599748
424	167.1733497
425	167.0728449
426	166.9921386
427	166.9168768
428	166.8624534
429	166.7630984
430	166.7120919
431	166.5963653
432	166.5180703
433	166.4463937
434	166.3751662
435	166.3294966
436	166.2397087
437	166.1732516
438	166.0846131
439	166.0241158
440	165.9589738
441	165.8877517
442	165.7922254
443	165.7450091
444	165.6833602
445	165.6229343
446	165.5322156
447	165.4690914
448	165.4061762
449	165.3289143
450	165.271113
451	165.2033404
452	165.1592574
453	165.0802505
454	164.9754702
455	164.9244012
456	164.8439395
457	164.762569
458	164.6913492
459	164.5852323
460	164.4909867
461	164.425695
462	164.3697389
463	164.2699144
464	164.1764693
465	164.1190684
466	164.0639194
467	164.0292231
468	163.9296852
469	163.8093433
470	163.7697174
471	163.6596181
472	163.5710471
473	163.4756207
474	163.4090204
475	163.3592971
476	163.2768784
477	163.2043583
478	163.0997749
479	163.062512
480	162.9680674
481	162.9457737
482	162.8421291
483	162.7841842
484	162.7368453
485	162.6864552
486	162.5877627
487	162.5278263
488	162.4402458
489	162.3436983
490	162.2765978
491	162.1858304
492	162.1312894
493	162.0627553
494	162.0003826
495	161.9165659
496	161.8620906
497	161.8121067
498	161.7316304
499	161.6926772
500	161.6610869
501	161.5964069
502	161.4964455
503	161.4631532
504	161.3987211
505	161.3439295
506	161.2899396
507	161.2456043
508	161.2017252
509	161.1099122
510	161.0669887
511	160.9876318
512	160.8892736
513	160.835408
514	160.7790485
515	160.7035612
516	160.6335497
517	160.5755628
518	160.5154196
519	160.4860009
520	160.3906115
521	160.3489166
522	160.2521696
523	160.2008319
524	160.1379141
525	160.0778321
526	160.0222233
527	159.9737106
528	159.9143032
529	159.8585241
530	159.7855239
531	159.7395131
532	159.6542718
533	159.6154952
534	159.5615274
535	159.4962267
536	159.4382095
537	159.375172
538	159.2817969
539	159.2063563
540	159.1214085
541	159.06594
542	159.0230936
543	158.9466893
544	158.8789039
545	158.8233447
546	158.7672207
547	158.6970154
548	158.6634085
549	158.6114151
550	158.5393618
551	158.4526024
552	158.3388603
553	158.2709535
554	158.2053192
555	158.1715616
556	158.0601937
557	158.0129339
558	157.9681979
559	157.9050819
560	157.8510048
561	157.7990947
562	157.7652185
563	157.6991695
564	157.6466009
565	157.6175655
566	157.558007
567	157.5089205
568	157.4518738
569	157.357813
570	157.3396129
571	157.2959581
572	157.2255011
573	157.1450858
574	157.1217593
575	157.0922846
576	157.0588898
577	156.9689116
578	156.9262358
579	156.8612173
