iter	Passed	Remaining
0	10	10463
1	17	8833
2	23	7720
3	26	6676
4	34	6792
5	39	6516
6	42	6043
7	47	5878
8	52	5740
9	55	5482
10	60	5470
11	63	5262
12	69	5310
13	72	5124
14	77	5093
15	80	4969
16	85	4935
17	88	4815
18	93	4834
19	98	4841
20	102	4798
21	106	4727
22	110	4699
23	113	4614
24	117	4586
25	121	4549
26	125	4523
27	132	4592
28	136	4573
29	139	4523
30	143	4483
31	148	4484
32	151	4445
33	156	4451
34	161	4441
35	166	4469
36	171	4470
37	175	4438
38	180	4453
39	184	4438
40	189	4443
41	193	4411
42	197	4395
43	202	4392
44	205	4367
45	213	4435
46	222	4518
47	229	4559
48	240	4667
49	246	4684
50	253	4719
51	261	4771
52	267	4788
53	275	4824
54	279	4810
55	286	4831
56	292	4841
57	299	4863
58	303	4842
59	307	4810
60	313	4821
61	316	4793
62	321	4785
63	328	4804
64	338	4867
65	348	4927
66	358	4997
67	365	5003
68	370	5000
69	377	5010
70	381	4995
71	387	4988
72	393	4991
73	397	4972
74	403	4970
75	407	4954
76	413	4953
77	419	4960
78	427	4981
79	435	5013
80	444	5043
81	452	5068
82	458	5070
83	464	5061
84	468	5038
85	472	5025
86	476	4997
87	480	4981
88	484	4955
89	489	4946
90	493	4929
91	498	4917
92	501	4893
93	507	4895
94	513	4894
95	518	4882
96	524	4882
97	528	4867
98	532	4843
99	536	4831
100	542	4828
101	549	4835
102	556	4843
103	560	4825
104	564	4811
105	570	4815
106	575	4801
107	580	4791
108	585	4790
109	589	4770
110	596	4781
111	606	4805
112	612	4807
113	617	4796
114	620	4777
115	627	4779
116	633	4779
117	640	4789
118	645	4777
119	651	4776
120	656	4770
121	660	4754
122	666	4754
123	671	4743
124	676	4738
125	683	4742
126	690	4746
127	694	4728
128	698	4714
129	704	4715
130	708	4697
131	713	4690
132	717	4678
133	725	4688
134	730	4682
135	738	4693
136	744	4687
137	751	4691
138	756	4688
139	766	4708
140	771	4700
141	776	4691
142	780	4677
143	789	4690
144	794	4683
145	798	4668
146	801	4651
147	808	4655
148	814	4649
149	817	4633
150	823	4630
151	827	4616
152	833	4614
153	840	4616
154	846	4616
155	850	4602
156	855	4592
157	858	4576
158	864	4574
159	871	4573
160	875	4562
161	880	4553
162	886	4552
163	890	4539
164	895	4529
165	903	4540
166	911	4545
167	918	4550
168	926	4557
169	936	4573
170	943	4575
171	953	4589
172	957	4576
173	962	4569
174	968	4563
175	973	4559
176	978	4551
177	984	4546
178	991	4548
179	996	4540
180	1001	4533
181	1008	4534
182	1014	4531
183	1019	4519
184	1024	4514
185	1032	4518
186	1039	4519
187	1044	4511
188	1049	4505
189	1055	4497
190	1058	4485
191	1063	4475
192	1066	4461
193	1072	4454
194	1076	4444
195	1084	4449
196	1091	4450
197	1096	4442
198	1104	4444
199	1108	4435
200	1112	4422
201	1120	4425
202	1125	4417
203	1129	4407
204	1133	4394
205	1139	4393
206	1143	4381
207	1149	4378
208	1153	4366
209	1160	4364
210	1165	4359
211	1170	4351
212	1174	4338
213	1180	4336
214	1184	4323
215	1189	4318
216	1196	4318
217	1200	4306
218	1206	4301
219	1213	4301
220	1219	4297
221	1224	4290
222	1229	4283
223	1234	4276
224	1245	4290
225	1254	4296
226	1262	4297
227	1273	4311
228	1277	4302
229	1281	4290
230	1287	4286
231	1293	4282
232	1298	4273
233	1302	4263
234	1306	4253
235	1316	4260
236	1321	4253
237	1327	4251
238	1339	4266
239	1345	4259
240	1350	4254
241	1357	4250
242	1366	4255
243	1371	4248
244	1375	4239
245	1381	4233
246	1386	4228
247	1391	4220
248	1396	4213
249	1400	4201
250	1406	4197
251	1412	4191
252	1419	4190
253	1427	4191
254	1431	4181
255	1436	4173
256	1440	4164
257	1446	4160
258	1452	4154
259	1462	4161
260	1472	4170
261	1484	4181
262	1499	4202
263	1509	4208
264	1520	4217
265	1528	4217
266	1538	4222
267	1549	4231
268	1559	4238
269	1571	4248
270	1581	4254
271	1588	4251
272	1594	4245
273	1600	4239
274	1605	4233
275	1616	4239
276	1624	4241
277	1634	4245
278	1647	4256
279	1660	4269
280	1665	4262
281	1670	4252
282	1678	4253
283	1684	4246
284	1690	4241
285	1695	4232
286	1699	4223
287	1705	4215
288	1710	4209
289	1720	4212
290	1732	4221
291	1739	4217
292	1744	4209
293	1757	4220
294	1769	4229
295	1775	4223
296	1781	4217
297	1787	4210
298	1794	4206
299	1800	4200
300	1807	4196
301	1819	4205
302	1830	4210
303	1839	4210
304	1844	4204
305	1850	4196
306	1857	4192
307	1868	4197
308	1878	4200
309	1885	4196
310	1892	4192
311	1899	4188
312	1904	4179
313	1916	4187
314	1931	4200
315	1942	4205
316	1950	4202
317	1956	4196
318	1963	4191
319	1967	4181
320	1978	4184
321	1986	4183
322	1991	4173
323	2003	4179
324	2007	4170
325	2014	4164
326	2018	4155
327	2023	4145
328	2035	4152
329	2044	4151
330	2053	4150
331	2058	4141
332	2065	4137
333	2072	4131
334	2080	4129
335	2088	4127
336	2095	4122
337	2103	4118
338	2108	4111
339	2113	4101
340	2118	4094
341	2128	4094
342	2133	4086
343	2141	4083
344	2146	4074
345	2151	4067
346	2155	4056
347	2159	4046
348	2163	4035
349	2168	4026
350	2172	4016
351	2176	4005
352	2182	3999
353	2186	3990
354	2191	3981
355	2197	3975
356	2202	3966
357	2209	3962
358	2223	3969
359	2248	3997
360	2272	4022
361	2298	4050
362	2309	4053
363	2316	4047
364	2323	4042
365	2330	4036
366	2345	4046
367	2360	4053
368	2367	4048
369	2378	4049
370	2381	4038
371	2388	4031
372	2393	4023
373	2397	4012
374	2403	4005
375	2409	3998
376	2414	3989
377	2421	3983
378	2429	3980
379	2435	3973
380	2441	3966
381	2445	3956
382	2453	3952
383	2460	3946
384	2465	3938
385	2473	3934
386	2480	3929
387	2486	3922
388	2491	3913
389	2498	3907
390	2504	3900
391	2508	3891
392	2514	3883
393	2519	3875
394	2525	3867
395	2531	3861
396	2538	3855
397	2545	3849
398	2549	3840
399	2556	3834
400	2562	3827
401	2569	3822
402	2573	3812
403	2577	3802
404	2581	3793
405	2585	3782
406	2591	3776
407	2599	3772
408	2609	3770
409	2619	3769
410	2633	3774
411	2642	3770
412	2654	3772
413	2662	3768
414	2670	3765
415	2680	3763
416	2691	3762
417	2696	3754
418	2702	3747
419	2706	3737
420	2716	3735
421	2726	3734
422	2735	3731
423	2744	3728
424	2752	3724
425	2759	3718
426	2763	3708
427	2771	3704
428	2783	3704
429	2792	3701
430	2804	3702
431	2814	3700
432	2824	3698
433	2834	3696
434	2842	3691
435	2854	3692
436	2864	3690
437	2872	3686
438	2881	3682
439	2893	3682
440	2901	3677
441	2910	3673
442	2917	3668
443	2926	3665
444	2934	3659
445	2938	3649
446	2943	3641
447	2948	3632
448	2954	3626
449	2959	3617
450	2964	3609
451	2969	3600
452	2976	3594
453	2981	3585
454	2985	3576
455	2991	3568
456	2994	3558
457	2999	3549
458	3008	3545
459	3013	3537
460	3017	3528
461	3023	3521
462	3030	3515
463	3034	3505
464	3040	3498
465	3046	3491
466	3052	3484
467	3061	3480
468	3068	3473
469	3076	3469
470	3090	3471
471	3099	3467
472	3108	3463
473	3115	3457
474	3129	3459
475	3142	3459
476	3157	3461
477	3175	3467
478	3186	3465
479	3196	3463
480	3203	3456
481	3210	3450
482	3214	3441
483	3220	3433
484	3225	3425
485	3230	3416
486	3235	3407
487	3239	3399
488	3243	3389
489	3249	3382
490	3256	3375
491	3260	3366
492	3267	3360
493	3275	3355
494	3282	3348
495	3288	3341
496	3293	3332
497	3298	3325
498	3305	3318
499	3310	3310
500	3314	3301
501	3321	3294
502	3328	3288
503	3332	3279
504	3338	3271
505	3344	3264
506	3348	3255
507	3354	3248
508	3358	3239
509	3365	3233
510	3372	3227
511	3376	3217
512	3382	3211
513	3387	3203
514	3391	3194
515	3397	3186
516	3402	3178
517	3409	3172
518	3414	3164
519	3419	3156
520	3427	3151
521	3434	3144
522	3441	3138
523	3449	3133
524	3454	3125
525	3459	3117
526	3467	3112
527	3473	3104
528	3476	3095
529	3480	3086
530	3488	3080
531	3491	3071
532	3498	3065
533	3506	3059
534	3513	3054
535	3520	3047
536	3528	3042
537	3537	3037
538	3549	3036
539	3553	3027
540	3561	3021
541	3567	3014
542	3570	3005
543	3575	2997
544	3581	2990
545	3584	2980
546	3591	2974
547	3596	2966
548	3600	2957
549	3605	2950
550	3610	2941
551	3614	2933
552	3619	2925
553	3623	2916
554	3627	2908
555	3634	2901
556	3638	2893
557	3643	2886
558	3647	2877
559	3653	2870
560	3658	2862
561	3664	2855
562	3669	2848
563	3674	2840
564	3678	2832
565	3684	2825
566	3688	2816
567	3693	2809
568	3700	2802
569	3704	2794
570	3710	2787
571	3716	2781
572	3722	2773
573	3726	2765
574	3733	2759
575	3739	2752
576	3742	2743
577	3750	2738
578	3755	2730
579	3761	2723
580	3765	2715
581	3771	2708
582	3776	2701
583	3783	2695
584	3787	2686
585	3793	2680
586	3798	2672
587	3802	2664
588	3807	2656
589	3811	2648
590	3821	2644
591	3827	2638
592	3835	2632
593	3844	2627
594	3852	2622
595	3857	2614
596	3864	2608
597	3871	2602
598	3880	2597
599	3890	2593
600	3902	2590
601	3909	2584
602	3914	2577
603	3921	2571
604	3928	2565
605	3936	2559
606	3940	2551
607	3948	2545
608	3952	2537
609	3956	2529
610	3962	2522
611	3970	2517
612	3974	2509
613	3978	2501
614	3984	2494
615	3988	2486
616	3993	2479
617	3998	2471
618	4004	2465
619	4013	2459
620	4018	2452
621	4022	2444
622	4030	2439
623	4038	2433
624	4047	2428
625	4055	2422
626	4062	2417
627	4066	2409
628	4070	2401
629	4074	2393
630	4079	2385
631	4084	2378
632	4089	2371
633	4095	2364
634	4101	2357
635	4110	2352
636	4115	2345
637	4120	2337
638	4129	2332
639	4135	2326
640	4142	2319
641	4148	2313
642	4154	2306
643	4162	2300
644	4170	2295
645	4174	2287
646	4180	2280
647	4188	2275
648	4195	2268
649	4202	2263
650	4209	2256
651	4216	2250
652	4227	2246
653	4233	2239
654	4239	2232
655	4244	2225
656	4248	2217
657	4255	2211
658	4263	2205
659	4273	2201
660	4277	2193
661	4281	2186
662	4286	2179
663	4292	2172
664	4296	2164
665	4302	2157
666	4306	2150
667	4312	2143
668	4318	2136
669	4322	2128
670	4328	2122
671	4332	2114
672	4337	2107
673	4345	2101
674	4351	2094
675	4356	2087
676	4360	2080
677	4367	2074
678	4374	2068
679	4378	2060
680	4384	2054
681	4395	2049
682	4401	2042
683	4406	2035
684	4415	2030
685	4418	2022
686	4423	2015
687	4432	2010
688	4441	2004
689	4447	1998
690	4453	1991
691	4458	1984
692	4465	1978
693	4473	1972
694	4478	1965
695	4485	1959
696	4494	1953
697	4502	1948
698	4509	1941
699	4514	1934
700	4522	1928
701	4529	1922
702	4536	1916
703	4544	1910
704	4550	1904
705	4554	1896
706	4560	1890
707	4565	1883
708	4570	1876
709	4578	1869
710	4590	1866
711	4596	1859
712	4603	1853
713	4611	1847
714	4618	1841
715	4627	1835
716	4633	1828
717	4638	1821
718	4643	1814
719	4648	1807
720	4656	1802
721	4665	1796
722	4673	1790
723	4679	1783
724	4684	1776
725	4692	1770
726	4700	1765
727	4708	1759
728	4716	1753
729	4724	1747
730	4737	1743
731	4743	1736
732	4751	1730
733	4764	1726
734	4773	1721
735	4778	1714
736	4783	1706
737	4789	1700
738	4798	1694
739	4806	1688
740	4810	1681
741	4819	1675
742	4824	1668
743	4830	1662
744	4837	1655
745	4842	1648
746	4855	1644
747	4865	1639
748	4873	1633
749	4882	1627
750	4889	1621
751	4897	1615
752	4909	1610
753	4915	1603
754	4923	1597
755	4933	1592
756	4939	1585
757	4947	1579
758	4953	1572
759	4959	1566
760	4962	1558
761	4970	1552
762	4979	1546
763	4988	1540
764	4996	1534
765	5005	1529
766	5015	1523
767	5019	1516
768	5025	1509
769	5028	1502
770	5034	1495
771	5037	1487
772	5046	1481
773	5051	1475
774	5058	1468
775	5061	1461
776	5067	1454
777	5073	1447
778	5077	1440
779	5084	1434
780	5089	1427
781	5092	1419
782	5099	1413
783	5102	1405
784	5107	1398
785	5112	1392
786	5118	1385
787	5124	1378
788	5130	1372
789	5134	1364
790	5141	1358
791	5144	1351
792	5148	1344
793	5155	1337
794	5158	1330
795	5163	1323
796	5169	1316
797	5172	1309
798	5179	1302
799	5185	1296
800	5193	1290
801	5203	1284
802	5211	1278
803	5216	1271
804	5221	1264
805	5229	1258
806	5237	1252
807	5243	1245
808	5248	1239
809	5255	1232
810	5259	1225
811	5264	1218
812	5268	1211
813	5275	1205
814	5285	1199
815	5290	1192
816	5294	1185
817	5299	1179
818	5305	1172
819	5309	1165
820	5317	1159
821	5327	1153
822	5331	1146
823	5338	1140
824	5342	1133
825	5346	1126
826	5351	1119
827	5354	1112
828	5359	1105
829	5363	1098
830	5369	1092
831	5373	1085
832	5379	1078
833	5386	1072
834	5394	1065
835	5406	1060
836	5415	1054
837	5420	1047
838	5427	1041
839	5433	1034
840	5437	1028
841	5443	1021
842	5446	1014
843	5452	1007
844	5458	1001
845	5461	994
846	5469	988
847	5475	981
848	5479	974
849	5486	968
850	5492	961
851	5497	954
852	5502	948
853	5509	941
854	5514	935
855	5518	928
856	5522	921
857	5528	914
858	5532	908
859	5537	901
860	5544	895
861	5550	888
862	5555	881
863	5559	875
864	5565	868
865	5569	861
866	5576	855
867	5582	848
868	5587	842
869	5592	835
870	5597	828
871	5601	822
872	5606	815
873	5612	809
874	5616	802
875	5622	795
876	5630	789
877	5636	783
878	5640	776
879	5645	769
880	5651	763
881	5655	756
882	5659	749
883	5664	743
884	5668	736
885	5675	730
886	5685	724
887	5693	718
888	5698	711
889	5702	704
890	5708	698
891	5712	691
892	5717	685
893	5724	678
894	5728	672
895	5735	665
896	5746	659
897	5750	653
898	5754	646
899	5758	639
900	5765	633
901	5771	627
902	5774	620
903	5780	613
904	5784	607
905	5792	600
906	5797	594
907	5803	588
908	5807	581
909	5812	574
910	5816	568
911	5822	561
912	5826	555
913	5831	548
914	5841	542
915	5848	536
916	5854	529
917	5858	523
918	5863	516
919	5869	510
920	5875	504
921	5880	497
922	5888	491
923	5894	484
924	5897	478
925	5905	471
926	5912	465
927	5918	459
928	5921	452
929	5928	446
930	5931	439
931	5938	433
932	5945	426
933	5952	420
934	5955	414
935	5962	407
936	5969	401
937	5973	394
938	5977	388
939	5985	382
940	5991	375
941	5998	369
942	6005	362
943	6010	356
944	6017	350
945	6021	343
946	6026	337
947	6033	330
948	6037	324
949	6044	318
950	6049	311
951	6053	305
952	6058	298
953	6066	292
954	6071	286
955	6076	279
956	6081	273
957	6085	266
958	6089	260
959	6093	253
960	6098	247
961	6103	241
962	6109	234
963	6114	228
964	6120	221
965	6124	215
966	6132	209
967	6144	203
968	6152	196
969	6162	190
970	6165	184
971	6170	177
972	6174	171
973	6181	165
974	6188	158
975	6194	152
976	6197	145
977	6203	139
978	6207	133
979	6214	126
980	6220	120
981	6224	114
982	6227	107
983	6234	101
984	6238	95
985	6245	88
986	6250	82
987	6257	76
988	6262	69
989	6267	63
990	6271	56
991	6277	50
992	6281	44
993	6286	37
994	6293	31
995	6297	25
996	6303	18
997	6309	12
998	6312	6
999	6319	0
